row_id,claim_id,support_status,table,evidence_type,paper,citation,page_number,text,paper_title,year,journal,doi,source
E25,C25,SUPPORTED,results,result,P1,P1 p2,2,"The sensitivity and specificity were 96 and 73% in comparison to the microdilution imipenem susceptibility One of the first successful applications of MALDI-TOF MS testing, which provides MIC determination (Chang et al., 2018)",Detection of Antibiotic-Resistance by MALDI-TOF Mass Spectrometry: An Expanding Area,2020,Frontiers in Cellular and Infection Microbiology,10.3389/fcimb.2020.572909,10.3389/fcimb.2020.572909
E26,C26,SUPPORTED,results,result,P1,P1 p2,2,"A protocol for detection of carbapenemase production by However, as p019 polypeptide was absent in a subset of blaKPC-MALDI-TOF MS was developed in Bacteroides fragilis strains harboring plasmids, negative results should be complemented by harboring the cfiA gene encoding for the carbapenemase confirmatory tests",Detection of Antibiotic-Resistance by MALDI-TOF Mass Spectrometry: An Expanding Area,2020,Frontiers in Cellular and Infection Microbiology,10.3389/fcimb.2020.572909,10.3389/fcimb.2020.572909
E27,C27,SUPPORTED,results,result,P1,P1 p2,2,"aureus (MSSA) into two clearly distinguishable groups based (Johansson et al., 2014a), yielding the results in 3 h",Detection of Antibiotic-Resistance by MALDI-TOF Mass Spectrometry: An Expanding Area,2020,Frontiers in Cellular and Infection Microbiology,10.3389/fcimb.2020.572909,10.3389/fcimb.2020.572909
E28,C28,SUPPORTED,results,result,P1,P1 p2,2,A partial success was achieved with the MICs for positive strains,Detection of Antibiotic-Resistance by MALDI-TOF Mass Spectrometry: An Expanding Area,2020,Frontiers in Cellular and Infection Microbiology,10.3389/fcimb.2020.572909,10.3389/fcimb.2020.572909
E29,C29,SUPPORTED,results,result,P1,P1 p2,2,aureus with a specificity close to 100%,Detection of Antibiotic-Resistance by MALDI-TOF Mass Spectrometry: An Expanding Area,2020,Frontiers in Cellular and Infection Microbiology,10.3389/fcimb.2020.572909,10.3389/fcimb.2020.572909
E30,C30,SUPPORTED,results,result,P1,P1 p2,2,"min-incubation of bacteria with the antibiotic, showed 98% aureus isolates, providing an indirect evidence of methicillinsensitivity and 100% specificity, both reaching 100% with a resistance (Figure 2)",Detection of Antibiotic-Resistance by MALDI-TOF Mass Spectrometry: An Expanding Area,2020,Frontiers in Cellular and Infection Microbiology,10.3389/fcimb.2020.572909,10.3389/fcimb.2020.572909
E31,C31,SUPPORTED,results,result,P1,P1 p2,2,"These results have been confirmed in two associated with methicillin-resistance also in coagulase-negative large bacterial isolates collections in which the presence of staphylococci (CoNS), the majority of those does not produce it carbapanemase genes was performed in accordance to CLSI (Schuster et al., 2018), thus being of limited usefulness to detect method and by PCR (Akyar et al., 2019; Oviano et al., 2020)",Detection of Antibiotic-Resistance by MALDI-TOF Mass Spectrometry: An Expanding Area,2020,Frontiers in Cellular and Infection Microbiology,10.3389/fcimb.2020.572909,10.3389/fcimb.2020.572909
E32,C32,SUPPORTED,results,result,P1,P1 p2,2,"However, -lactam resistance is detected only when it is mediated by -lactamases, whereas the other mechanisms of resistance Identification of possible markers associated with drugare not revealed, thus negative results should be confirmed by resistance by MALDI-TOF MS has been investigated also in other assays",Detection of Antibiotic-Resistance by MALDI-TOF Mass Spectrometry: An Expanding Area,2020,Frontiers in Cellular and Infection Microbiology,10.3389/fcimb.2020.572909,10.3389/fcimb.2020.572909
E33,C33,SUPPORTED,results,result,P2,P2 p1,1,"The reliability and accuracy of MALDI-TOF Grant Medical College and MS in identification of clinically relevant bacteria and yeasts has been demonstrated Sir Jamshedjee Jeejeebhoy Group by several studies showing that the performance of MALDI-TOF MS is comparable or superior to phenotypic methods currently in use in clinical microbiology laboratories, and of Hospitals, India can be further improved by database updates and analysis software upgrades",Recent Advances and Ongoing Challenges in the Diagnosis of Microbial Infections by MALDI-TOF Mass Spectrometry,2018,Frontiers in Microbiology,10.3389/fmicb.2018.01097,10.3389/fmicb.2018.01097
E34,C34,SUPPORTED,results,result,P2,P2 p2,2,"The spectral fingerprint obtained could be obtained from whole bacterial cells by matrix-assisted is compared with a database of reference spectra and a result laser desorption/ionization time-of-flight (MALDI-TOF) MS is generated on the basis of peak similarities (B�hme et al., analysis, paving the way for microbial identification by MS",Recent Advances and Ongoing Challenges in the Diagnosis of Microbial Infections by MALDI-TOF Mass Spectrometry,2018,Frontiers in Microbiology,10.3389/fmicb.2018.01097,10.3389/fmicb.2018.01097
